"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"U3";"bgm13p-smd";1;"LyraP";;;
2;"CLK";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";1;"SWCLK";;;
3;"DIO";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";1;"SWDIO";;;
4;"C3";"C-0603";1;"0.1u";;;
5;"R2";"R-0603";1;"1k";;;
6;"D1";"generic-LED1608";1;"LED";;;
7;"P1,P2";"pinhead-1X08";2;"CONN_01X08";;;
8;"R7,R8";"R-0603";2;"20k";;;
9;"SW1,SW2";"SKRPACE010";2;"SW_Push";;;
10;"P3";"GROVE";1;"CONN_01X04";;;
